Fecha de creacion,Count
04/01/2023,7
05/01/2023,20
06/01/2023,20
08/01/2023,17
09/01/2023,63
10/01/2023,65
11/01/2023,49
12/01/2023,38
13/01/2023,41
15/01/2023,3
16/01/2023,64
17/01/2023,60
18/01/2023,38
19/01/2023,46
20/01/2023,26
23/01/2023,23
24/01/2023,37
25/01/2023,30
26/01/2023,34
27/01/2023,20
30/01/2023,41
31/01/2023,28
01/02/2023,34
02/02/2023,53
03/02/2023,3
07/02/2023,59
08/02/2023,39
09/02/2023,15
10/02/2023,8
13/02/2023,46
14/02/2023,24
15/02/2023,67
16/02/2023,47
17/02/2023,51
22/02/2023,26
23/02/2023,25
24/02/2023,19
27/02/2023,40
28/02/2023,24
01/03/2023,39
02/03/2023,32
03/03/2023,62
06/03/2023,30
07/03/2023,60
08/03/2023,40
09/03/2023,46
10/03/2023,45
13/03/2023,44
14/03/2023,50
15/03/2023,40
16/03/2023,27
17/03/2023,46
20/03/2023,14
21/03/2023,36
22/03/2023,11
23/03/2023,24
24/03/2023,17
27/03/2023,17
28/03/2023,16
29/03/2023,48
30/03/2023,32
31/03/2023,24
17/04/2023,32
18/04/2023,32
19/04/2023,33
20/04/2023,31
21/04/2023,17
24/04/2023,16
25/04/2023,14
26/04/2023,23
27/04/2023,39
28/04/2023,41
02/05/2023,14
03/05/2023,46
04/05/2023,55
05/05/2023,21
08/05/2023,54
09/05/2023,84
10/05/2023,69
11/05/2023,81
12/05/2023,35
15/05/2023,71
16/05/2023,38
17/05/2023,49
18/05/2023,48
19/05/2023,32
20/05/2023,1
22/05/2023,81
23/05/2023,68
24/05/2023,55
25/05/2023,71
29/05/2023,33
30/05/2023,52
31/05/2023,69
01/06/2023,41
02/06/2023,33
03/06/2023,1
05/06/2023,65
06/06/2023,60
07/06/2023,24
08/06/2023,30
09/06/2023,44
12/06/2023,60
13/06/2023,53
14/06/2023,67
15/06/2023,21
16/06/2023,16
19/06/2023,77
20/06/2023,35
21/06/2023,62
22/06/2023,60
23/06/2023,50
25/06/2023,4
26/06/2023,44
27/06/2023,40
28/06/2023,48
29/06/2023,43
30/06/2023,48
03/07/2023,61
04/07/2023,66
05/07/2023,80
06/07/2023,110
07/07/2023,34
10/07/2023,52
11/07/2023,51
12/07/2023,59
13/07/2023,46
14/07/2023,12
16/07/2023,3
17/07/2023,10
18/07/2023,32
19/07/2023,79
20/07/2023,73
21/07/2023,30
24/07/2023,37
25/07/2023,74
26/07/2023,52
27/07/2023,71
28/07/2023,20
31/07/2023,47
01/08/2023,37
02/08/2023,42
03/08/2023,45
04/08/2023,59
07/08/2023,42
08/08/2023,58
09/08/2023,63
10/08/2023,50
12/08/2023,2
13/08/2023,13
14/08/2023,61
15/08/2023,56
16/08/2023,44
17/08/2023,49
18/08/2023,58
21/08/2023,70
22/08/2023,49
23/08/2023,77
24/08/2023,39
25/08/2023,74
28/08/2023,67
29/08/2023,81
30/08/2023,57
31/08/2023,37
01/09/2023,43
03/09/2023,1
04/09/2023,62
05/09/2023,39
06/09/2023,65
07/09/2023,50
08/09/2023,14
11/09/2023,63
12/09/2023,48
13/09/2023,67
14/09/2023,35
15/09/2023,53
17/09/2023,1
18/09/2023,88
19/09/2023,77
20/09/2023,90
21/09/2023,87
22/09/2023,45
23/09/2023,5
24/09/2023,5
25/09/2023,31
26/09/2023,30
27/09/2023,37
28/09/2023,63
29/09/2023,32
02/10/2023,1
05/10/2023,11
06/10/2023,139
16/10/2023,3
19/10/2023,1
20/10/2023,197
01/11/2023,6
06/11/2023,199
17/11/2023,88
20/11/2023,1
29/11/2023,1
01/12/2023,94
12/12/2023,1
15/12/2023,152
21/12/2023,1
22/12/2023,1
26/12/2023,1
31/03/2024,4
30/03/2024,9
29/03/2024,4
28/03/2024,99
27/03/2024,102
26/03/2024,97
25/03/2024,83
22/03/2024,78
21/03/2024,82
20/03/2024,175
19/03/2024,162
18/03/2024,162
15/03/2024,102
14/03/2024,99
13/03/2024,104
12/03/2024,138
11/03/2024,147
10/03/2024,3
09/03/2024,3
08/03/2024,51
07/03/2024,53
06/03/2024,66
05/03/2024,76
04/03/2024,113
02/03/2024,6
01/03/2024,65
29/02/2024,123
28/02/2024,108
27/02/2024,97
26/02/2024,100
23/02/2024,52
22/02/2024,111
21/02/2024,138
20/02/2024,113
19/02/2024,139
17/02/2024,1
16/02/2024,90
15/02/2024,81
14/02/2024,78
13/02/2024,8
12/02/2024,5
11/02/2024,2
09/02/2024,56
08/02/2024,94
07/02/2024,60
